"Error while creating image","生成圖片時出錯"
"Image not exists or invalid","圖片不存在或不正確"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","此內容需要最新版本的 Adobe Flash Player才能操作。<a href=""%s"">下載Flash</a>"
