"*A country not appearing as a selection means that we currently cannot ship to that country.","*如果沒有您的國家選項，即表示我們目前未能配送至該國家。"
"Amphoe","區"
"Area","區域"
"Changwat","府"
"City","城市"
"District","區"
"Please select or verify your shipping destination:","請選擇您的送貨目的地："
"Province","省份"
"Save and continue","保存並繼續"
"State","州"
